,rest_names,rest_urls,rest_ratings,price for two,rest_crusine
0,NIC Ice Creams,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,4.5,₹100 for one,"Ice Cream, Desserts"
1,KFC,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,4.1,₹100 for one,"Burger, Fast Food, Biryani, Desserts, Beverages"
2,New Dhaba Shere-Punjab Pure Veg Restaurant,https://www.zomato.com/visakhapatnam/new-dhaba-shere-punjab-pure-veg-restaurant-allipuram-vizag/order,3.8,₹100 for one,North Indian
3,Kamat Takeaway,https://www.zomato.com/visakhapatnam/kamat-takeaway-siripuram-vizag/order,4.2,₹100 for one,"Biryani, Andhra"
4,The Kitchen,https://www.zomato.com/visakhapatnam/the-kitchen-mvp-colony-vizag/order,3.5,₹100 for one,"North Indian, Chinese, Biryani, South Indian"
5,UBQ By Barbeque Nation,https://www.zomato.com/visakhapatnam/ubq-by-barbeque-nation-siripuram-vizag/order,3.4,₹100 for one,"North Indian, Chinese, Street Food, Kebab, Beverages, Desserts"
6,Jai Jaganath Restaurant,https://www.zomato.com/visakhapatnam/jai-jaganath-restaurant-ram-nagar-vizag/order,3.8,₹100 for one,"Chinese, North Indian"
7,Burger King,https://www.zomato.com/visakhapatnam/burger-king-asilmetta-vizag/order,4.2,₹100 for one,"Burger, Fast Food"
8,Cool Cakes,https://www.zomato.com/visakhapatnam/cool-cakes-dwaraka-nagar-vizag/order,4.3,₹100 for one,Bakery
9,Pizza Hut,https://www.zomato.com/visakhapatnam/pizza-hut-dwaraka-nagar-vizag/order,3.9,₹200 for one,"Pizza, Fast Food, Desserts, Beverages"
10,Eaters Stop,https://www.zomato.com/visakhapatnam/eaters-stop-dwaraka-nagar-vizag/order,4.1,₹200 for one,"South Indian, North Indian, Biryani, Chinese, Sichuan"
11,Satyam Non-Veg Restaurant,https://www.zomato.com/visakhapatnam/satyam-non-veg-restaurant-dwaraka-nagar-vizag/order,4.1,₹200 for one,"Biryani, North Indian, Chinese"
12,Domino's Pizza,https://www.zomato.com/visakhapatnam/dominos-pizza-waltair-uplands-vizag/order,4.0,₹200 for one,"Pizza, Italian, Pasta, Fast Food, Desserts"
13,Real Deepak Punjabi Dhaba,https://www.zomato.com/visakhapatnam/real-deepak-punjabi-dhaba-ram-nagar-vizag/order,4.1,₹200 for one,"North Indian, Biryani, Chinese, Sichuan"
14,Bombay Restaurant-Jyothee Theatre,https://www.zomato.com/visakhapatnam/bombay-restaurant-jyothee-theatre-allipuram-vizag/order,3.9,₹200 for one,"Chinese, Seafood, North Indian, Kebab, Mughlai, Biryani"
15,The Spicy Venue,https://www.zomato.com/visakhapatnam/the-spicy-venue-siripuram-vizag/order,4.3,₹200 for one,"North Indian, Chinese, Andhra, Biryani, Sichuan"
16,S.Kota's Hotel Muntaj,https://www.zomato.com/visakhapatnam/s-kotas-hotel-muntaj-venkojipalem-vizag/order,4.1,₹200 for one,"Biryani, Chinese, North Indian"
17,New Satyam Multicuisine Restaurant & Takeaway,https://www.zomato.com/visakhapatnam/new-satyam-multicuisine-restaurant-takeaway-dwaraka-nagar-vizag/order,4.2,₹200 for one,"Biryani, Chinese, Andhra, North Indian, Mughlai, Sichuan"
18,Venkatadri Vantillu,https://www.zomato.com/visakhapatnam/venkatadri-vantillu-asilmetta-vizag/order,4.3,₹200 for one,"South Indian, Beverages, Desserts"
19,Biryanis And More,https://www.zomato.com/visakhapatnam/biryanis-and-more-2-siripuram-vizag/order,4.0,₹200 for one,"Biryani, South Indian, Chinese, Andhra, Sichuan"
20,The Rasoi,https://www.zomato.com/visakhapatnam/the-rasoi-ram-nagar-vizag/order,4.2,₹200 for one,North Indian
21,Abhiruchi Biryani,https://www.zomato.com/visakhapatnam/abhiruchi-biryani-maddilapalem-vizag/order,3.6,₹250 for one,Biryani
22,Chutneys Diamond Park,https://www.zomato.com/visakhapatnam/chutneys-diamond-park-dwaraka-nagar-vizag/order,4.2,₹250 for one,"South Indian, Chinese, North Indian, Beverages, Biryani, Desserts, Sichuan"
23,Sweet India Foods,https://www.zomato.com/visakhapatnam/sweet-india-foods-ram-nagar-vizag/order,4.3,₹250 for one,"Desserts, Street Food"
24,Celebrations Restaurant,https://www.zomato.com/visakhapatnam/celebrations-restaurant-akkayyapalem-vizag/order,4.3,₹250 for one,"Continental, Chinese, South Indian, Biryani, Andhra, North Indian, Kebab, Ice Cream"
25,Spicy Paradise Restaurant,https://www.zomato.com/visakhapatnam/spicy-paradise-restaurant-jagadamba-junction-vizag/order,4.0,₹250 for one,"Biryani, North Indian, Chinese, South Indian, Sichuan, BBQ"
26,Alpha Hotel -Since 1948,https://www.zomato.com/visakhapatnam/alpha-hotel-since-1948-jagadamba-junction-vizag/order,4.0,₹250 for one,"Biryani, Seafood, North Indian, Arabian, Chinese"
27,New Dhaba City Punjab,https://www.zomato.com/visakhapatnam/new-dhaba-city-punjab-balayya-sastri-layout-vizag/order,4.2,₹250 for one,"Biryani, North Indian, Chinese, Kebab"
28,Helapuri Restaurant-Diamond Park,https://www.zomato.com/visakhapatnam/helapuri-restaurant-diamond-park-dwaraka-nagar-vizag/order,4.2,₹250 for one,"North Indian, Chinese, Biryani, Mughlai, Seafood, Ice Cream, Beverages"
29,Sri Sairam Parlour,https://www.zomato.com/visakhapatnam/sri-sairam-parlour-dwaraka-nagar-vizag/order,4.3,₹250 for one,"South Indian, North Indian, Chinese"
30,72 Biryani's,https://www.zomato.com/visakhapatnam/72-biryanis-mvp-colony-vizag/order,3.6,₹250 for one,Biryani
31,Paradise Biryani,https://www.zomato.com/visakhapatnam/paradise-biryani-waltair-uplands-vizag/order,3.7,₹250 for one,"North Indian, Chinese, Kebab"
