From Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Temp,RH,WS,WD,SR,BP,VWS,AT,RF,Xylene,TOT-RF
22-06-2022 00:00,30.8,88.25,29.73,35.23,42.95,18.18,9.95,0.55,4.92,3.45,23.88,29.35,76.82,1.28,246.48,127.9,743.33,0,30.38,0,3.17,0
23-06-2022 00:00,26.12,82.87,32.02,40.52,47.63,18.45,8.33,0.44,5.98,2.34,10.2,29.56,76.84,1.75,258.57,122.46,744.1,0.01,30.62,0,2.78,0
24-06-2022 00:00,46.25,107.55,32.86,40.7,48.41,18.43,9.34,0.5,4.84,3.45,39.78,29.52,82.11,1.65,260.97,47.69,743.4,0,29.6,0,3.76,0
25-06-2022 00:00,45.49,104.7,38.21,40.32,52.54,19.82,12.18,0.67,4.13,3.34,36.55,28.84,83.63,1.57,261.78,53.62,741.73,0,28.23,0.01,3.58,0.5
26-06-2022 00:00,33.63,84.6,23.89,36.63,38.95,18.96,10.94,0.46,4.9,3.43,47.7,29.04,80.33,1.69,242.18,110.47,742.35,0,29.46,0.19,2.68,17.5
27-06-2022 00:00,29.06,88.92,26.94,35.97,41.1,17.61,10.75,0.41,5.43,2.93,20.78,29.41,77.69,1.82,249.9,139.57,743.53,0,30.79,0,2.35,0
28-06-2022 00:00,33.7,88.19,29.23,31.9,40.78,15.82,11.77,0.44,4.14,2.84,39.28,28.43,78.87,1.58,263.42,95.86,743.22,0,30.03,0,2.84,0
29-06-2022 00:00,36.47,98.81,24.76,32.38,37.36,15.89,12.29,0.49,4.23,3.77,21.05,28.64,78.62,2.18,247.87,124.9,742.19,-0.01,30.89,0,2.51,0
30-06-2022 00:00,36.77,107.4,22.45,33.32,36.01,15.96,13.01,0.6,4.38,2.92,9.94,28.64,79.04,2.16,233.67,112.93,742.03,-0.01,31.31,0.01,2.41,0.5
01-07-2022 00:00,32.93,93.26,24.31,33.68,37.72,18.13,11.68,0.51,5.96,2.48,11.89,29.77,76.08,1.89,236.62,129.58,741.57,0,32.28,0,2.16,0
02-07-2022 00:00,43.2,105.06,20.11,39.23,37.26,21.11,12.03,0.53,12.22,3.01,22.05,28.68,80.26,1.37,217.77,54.67,740.49,0,30.76,0,2.71,0
03-07-2022 00:00,46.42,113.24,24.61,41.12,41.92,20.6,9.04,0.63,9.71,5.6,53.73,28.51,77.77,1.37,234.29,95.76,740.48,0,31.85,0,3.06,0
